,Data,Hora,Temperatura,Umidade,Dia,Mes,Ano,Radiacao
241,2009-01-18,12,24.9,80.0,18,1,2009,1133.3
242,2009-01-18,13,27.2,74.0,18,1,2009,2101.0
243,2009-01-18,14,27.2,75.0,18,1,2009,1124.6
244,2009-01-18,15,29.4,67.0,18,1,2009,2608.3
245,2009-01-18,16,29.3,66.0,18,1,2009,2063.6
246,2009-01-18,17,30.9,63.0,18,1,2009,3379.4
247,2009-01-18,18,31.2,63.0,18,1,2009,2144.2
248,2009-01-18,19,25.6,89.0,18,1,2009,1587.2
249,2009-01-18,20,27.6,81.0,18,1,2009,1367.9
250,2009-01-18,21,27.5,77.0,18,1,2009,500.8
251,2009-01-18,22,26.4,85.0,18,1,2009,147.8
252,2009-01-19,9,23.6,95.0,19,1,2009,0.2923076923076923
253,2009-01-19,10,23.8,95.0,19,1,2009,10.0
254,2009-01-19,11,24.3,93.0,19,1,2009,182.8
255,2009-01-19,12,22.2,91.0,19,1,2009,71.3
256,2009-01-19,13,22.8,92.0,19,1,2009,213.5
257,2009-01-19,14,24.7,85.0,19,1,2009,1183.8
258,2009-01-19,15,25.4,79.0,19,1,2009,1282.9
259,2009-01-19,16,26.3,75.0,19,1,2009,1923.1
260,2009-01-19,17,27.2,70.0,19,1,2009,2380.6
261,2009-01-19,18,27.6,69.0,19,1,2009,2186.7
262,2009-01-19,19,27.9,68.0,19,1,2009,2007.8
263,2009-01-19,20,28.4,65.0,19,1,2009,1428.0
264,2009-01-19,21,28.4,65.0,19,1,2009,1042.6
265,2009-01-19,22,26.4,79.0,19,1,2009,169.2
266,2009-01-20,9,23.1,94.0,20,1,2009,0.2923076923076923
267,2009-01-20,10,23.1,94.0,20,1,2009,12.9
268,2009-01-20,11,23.8,91.0,20,1,2009,296.6
269,2009-01-20,12,25.6,84.0,20,1,2009,679.8
270,2009-01-20,13,24.2,86.0,20,1,2009,579.3
271,2009-01-20,14,27.3,76.0,20,1,2009,1607.8
272,2009-01-20,15,28.0,66.0,20,1,2009,2700.3
273,2009-01-20,16,30.7,63.0,20,1,2009,3321.3
274,2009-01-20,17,29.7,65.0,20,1,2009,2188.3
275,2009-01-20,18,29.9,59.0,20,1,2009,1535.1
276,2009-01-20,19,29.8,63.0,20,1,2009,1609.0
277,2009-01-20,20,29.9,63.0,20,1,2009,920.7
278,2009-01-20,21,27.1,71.0,20,1,2009,494.6
279,2009-01-20,22,25.5,81.0,20,1,2009,72.4
280,2009-01-21,9,23.2,94.0,21,1,2009,0.2923076923076923
281,2009-01-21,10,23.0,94.0,21,1,2009,1.8
282,2009-01-21,11,23.4,93.0,21,1,2009,251.3
283,2009-01-21,12,24.7,89.0,21,1,2009,688.4
284,2009-01-21,13,25.9,80.0,21,1,2009,1379.0
285,2009-01-21,14,27.4,74.0,21,1,2009,2153.4
286,2009-01-21,15,29.2,65.0,21,1,2009,2225.4
287,2009-01-21,16,27.3,79.0,21,1,2009,2234.6
288,2009-01-21,17,30.5,67.0,21,1,2009,2188.8
289,2009-01-21,18,23.6,90.0,21,1,2009,1365.0
290,2009-01-21,19,23.6,89.0,21,1,2009,265.9
291,2009-01-21,20,23.6,92.0,21,1,2009,196.9
292,2009-01-21,21,23.4,93.0,21,1,2009,56.2
293,2009-01-21,22,23.4,94.0,21,1,2009,12.9
294,2009-01-22,9,23.0,94.0,22,1,2009,0.0
295,2009-01-22,10,23.1,95.0,22,1,2009,16.4
296,2009-01-22,11,23.5,93.0,22,1,2009,223.8
297,2009-01-22,12,25.2,83.0,22,1,2009,756.3
298,2009-01-22,13,26.7,78.0,22,1,2009,1509.9
299,2009-01-22,14,27.5,75.0,22,1,2009,1597.6
300,2009-01-22,15,28.1,75.0,22,1,2009,1784.2
301,2009-01-22,16,28.7,68.0,22,1,2009,2554.8
302,2009-01-22,17,29.0,67.0,22,1,2009,1902.8
303,2009-01-22,18,29.2,68.0,22,1,2009,1533.4
304,2009-01-22,19,29.2,68.0,22,1,2009,1257.9
305,2009-01-22,20,28.7,71.0,22,1,2009,806.3
306,2009-01-22,21,26.3,85.0,22,1,2009,211.7
307,2009-01-22,22,25.4,90.0,22,1,2009,31.6
308,2009-01-23,9,23.7,95.0,23,1,2009,0.2923076923076923
309,2009-01-23,10,23.8,94.0,23,1,2009,4.9
310,2009-01-23,11,23.9,94.0,23,1,2009,89.2
311,2009-01-23,12,24.7,89.0,23,1,2009,349.6
312,2009-01-23,13,25.9,82.0,23,1,2009,962.0
313,2009-01-23,14,27.2,78.0,23,1,2009,1231.4
314,2009-01-23,15,28.9,66.0,23,1,2009,2628.1
315,2009-01-23,16,29.7,66.0,23,1,2009,2598.0
316,2009-01-23,17,30.2,63.0,23,1,2009,2282.2
317,2009-01-23,18,31.7,57.0,23,1,2009,2763.8
318,2009-01-23,19,30.4,63.0,23,1,2009,1855.6
319,2009-01-23,20,27.3,77.0,23,1,2009,428.0
320,2009-01-23,21,25.5,82.0,23,1,2009,95.5
321,2009-01-23,22,24.6,90.0,23,1,2009,3.0
322,2009-01-24,9,23.3,95.0,24,1,2009,0.2923076923076923
323,2009-01-24,10,23.5,95.0,24,1,2009,8.8
324,2009-01-24,11,23.8,93.0,24,1,2009,88.1
325,2009-01-24,12,24.4,91.0,24,1,2009,360.5
326,2009-01-24,13,25.4,84.0,24,1,2009,865.0
327,2009-01-24,14,26.5,78.0,24,1,2009,1181.5
328,2009-01-24,15,27.3,75.0,24,1,2009,1359.8
329,2009-01-24,16,29.1,67.0,24,1,2009,2038.0
330,2009-01-24,17,29.0,68.0,24,1,2009,1822.7
331,2009-01-24,18,30.2,62.0,24,1,2009,2333.3
332,2009-01-24,19,29.7,58.0,24,1,2009,2379.0
333,2009-01-24,20,29.6,65.0,24,1,2009,1226.0
334,2009-01-24,21,28.7,72.0,24,1,2009,848.1
335,2009-01-24,22,27.2,82.0,24,1,2009,140.5
336,2009-01-25,9,23.2,94.0,25,1,2009,0.2923076923076923
337,2009-01-25,10,23.0,95.0,25,1,2009,2.0
338,2009-01-25,11,23.3,95.0,25,1,2009,52.7
339,2009-01-25,12,23.8,93.0,25,1,2009,463.6
340,2009-01-25,13,24.7,91.0,25,1,2009,858.2
341,2009-01-25,14,24.0,90.0,25,1,2009,1010.9
342,2009-01-25,15,25.6,83.0,25,1,2009,1999.7
343,2009-01-25,16,27.3,74.0,25,1,2009,2586.6
344,2009-01-25,17,28.5,69.0,25,1,2009,2876.4
345,2009-01-25,18,28.4,67.0,25,1,2009,2951.3
346,2009-01-25,19,28.1,67.0,25,1,2009,1547.9
347,2009-01-25,20,27.3,72.0,25,1,2009,548.2
348,2009-01-25,21,28.2,68.0,25,1,2009,853.4
349,2009-01-25,22,26.5,82.0,25,1,2009,152.3
350,2009-01-26,9,23.5,94.0,26,1,2009,0.2923076923076923
351,2009-01-26,10,23.4,94.0,26,1,2009,14.4
352,2009-01-26,11,24.3,92.0,26,1,2009,298.5
353,2009-01-26,12,25.4,88.0,26,1,2009,683.6
354,2009-01-26,13,27.2,76.0,26,1,2009,1429.2
355,2009-01-26,14,27.0,80.0,26,1,2009,853.4
356,2009-01-26,15,29.2,67.0,26,1,2009,2090.6
357,2009-01-26,16,29.6,63.0,26,1,2009,2630.0
358,2009-01-26,17,30.0,63.0,26,1,2009,2741.4
359,2009-01-26,18,31.3,59.0,26,1,2009,2325.4
360,2009-01-26,19,28.2,70.0,26,1,2009,1687.6
361,2009-01-26,20,26.8,79.0,26,1,2009,564.1
362,2009-01-26,21,26.9,79.0,26,1,2009,480.1
363,2009-01-26,22,26.7,77.0,26,1,2009,189.9
364,2009-01-27,9,23.3,95.0,27,1,2009,0.2923076923076923
365,2009-01-27,10,23.2,95.0,27,1,2009,26.9
366,2009-01-27,11,24.4,90.0,27,1,2009,453.8
367,2009-01-27,12,25.5,84.0,27,1,2009,635.6
368,2009-01-27,13,25.2,89.0,27,1,2009,681.8
369,2009-01-27,14,25.3,92.0,27,1,2009,712.1
370,2009-01-27,15,28.0,73.0,27,1,2009,2247.5
371,2009-01-27,16,29.3,69.0,27,1,2009,2989.1
372,2009-01-27,17,29.3,72.0,27,1,2009,2618.9
